customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,payment_method,monthly_charges,total_charges,internet_service,online_security,tech_support,paperless_billing,streaming_tv,streaming_movies,multiple_lines,avg_monthly_usage_gb,support_tickets_last_6m,late_payments_last_year,autopay_enabled,billing_cycle,region,churn
C010,Male,0,Yes,Yes,35,One year,Credit card,64.62,,DSL,Yes,Yes,No,Yes,No,Yes,83.86,0,0,Yes,Monthly,North,0
C006,Male,0,Yes,No,24,One year,Credit card,63.01,1512.24,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,245.61,1,0,Yes,Monthly,North,0
C002,Male,0,No,No,5,Month-to-month,Mailed check,82.93,414.65,Fiber optic,No,No,Yes,No,Yes,Yes,237.79,1,1,No,Monthly,North,1
C015,Female,0,Yes,Yes,95,Two year,Bank transfer,48.39,4597.05,DSL,Yes,Yes,No,Yes,Yes,Yes,17.29,0,0,Yes,Quarterly,South,0
C002,Male,0,No,No,1,Month-to-month,Mailed check,88.78,88.78,Fiber optic,No,No,Yes,No,Yes,Yes,240.95,4,3,No,Monthly,North,1
C015,Female,0,Yes,Yes,96,Two year,Bank transfer,42.58,,DSL,Yes,Yes,No,Yes,Yes,Yes,80.16,1,0,Yes,Quarterly,South,0
C012,Male,0,Yes,Yes,80,Two year,Bank transfer,49.28,3942.4,DSL,Yes,Yes,No,Yes,Yes,Yes,112.1,1,1,Yes,Quarterly,East,0
C008,Male,0,Yes,Yes,56,Two year,Bank transfer,63.18,3538.08,DSL,,Yes,No,Yes,Yes,Yes,98.09,0,0,Yes,Quarterly,South,0
C003,Female,0,Yes,Yes,44,One year,Credit card,41.84,1840.96,DSL,Yes,Yes,No,Yes,No,Yes,142.94,0,0,Yes,Quarterly,East,0
C007,Female,0,No,No,1,Month-to-month,Electronic check,96.54,,Fiber optic,,No,Yes,No,Yes,No,291.65,4,4,No,Monthly,East,1
C012,Male,0,Yes,Yes,90,Two year,Bank transfer,45.7,4113.0,DSL,Yes,Yes,No,Yes,Yes,Yes,23.74,0,0,Yes,Quarterly,East,0
C012,Male,0,Yes,Yes,79,Two year,Bank transfer,46.6,3681.4,DSL,Yes,Yes,No,Yes,Yes,Yes,102.6,2,1,Yes,Quarterly,East,0
C001,Female,0,Yes,No,18,Month-to-month,Electronic check,64.87,1167.66,Fiber optic,No,No,Yes,Yes,Yes,No,133.03,2,0,No,Monthly,South,1
C013,Female,0,Yes,No,17,One year,Credit card,55.85,949.45,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,170.13,2,1,Yes,Monthly,West,0
C005,Female,0,Yes,Yes,78,Two year,Bank transfer,48.97,3819.66,DSL,Yes,Yes,No,Yes,Yes,Yes,54.67,2,0,Yes,Quarterly,West,0
C008,Male,0,Yes,Yes,61,Two year,Bank transfer,53.59,3268.99,DSL,Yes,Yes,No,Yes,Yes,Yes,90.18,2,0,Yes,Quarterly,South,0
C015,Female,0,Yes,Yes,95,Two year,Bank transfer,48.39,4597.05,DSL,Yes,Yes,No,Yes,Yes,Yes,17.29,0,0,Yes,Quarterly,South,0
C003,Female,0,Yes,Yes,45,One year,Credit card,37.79,1700.55,DSL,Yes,Yes,No,Yes,No,Yes,78.27,0,0,Yes,Quarterly,East,0
C012,Male,0,Yes,Yes,84,Two year,Bank transfer,37.28,3131.52,DSL,Yes,Yes,No,Yes,Yes,Yes,59.68,0,1,Yes,Quarterly,East,0
C015,Female,0,Yes,Yes,94,Two year,Bank transfer,45.76,4301.44,DSL,Yes,Yes,No,Yes,Yes,Yes,18.28,2,0,Yes,Quarterly,South,0
C012,Male,0,Yes,Yes,90,Two year,Bank transfer,45.7,4113.0,DSL,Yes,Yes,No,Yes,Yes,Yes,23.74,0,0,Yes,Quarterly,East,0
C005,Female,0,Yes,Yes,72,Two year,Bank transfer,47.05,3387.6,DSL,Yes,Yes,No,Yes,Yes,Yes,59.9,0,1,Yes,Quarterly,West,0
C013,Female,0,Yes,No,18,One year,Credit card,71.9,1294.2,Fiber optic,,No,Yes,Yes,Yes,Yes,142.28,2,0,Yes,Monthly,West,0
C008,Male,0,Yes,Yes,56,Two year,Bank transfer,63.18,3538.08,DSL,,Yes,No,Yes,Yes,Yes,98.09,0,0,Yes,Quarterly,South,0
C011,Female,0,No,No,1,Month-to-month,Electronic check,106.52,106.52,Fiber optic,No,No,Yes,No,Yes,No,356.63,4,4,No,Monthly,South,1
C013,Female,0,Yes,No,19,One year,Credit card,71.65,1361.35,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,192.79,2,0,Yes,Monthly,West,0
C013,Female,0,Yes,No,12,One year,Credit card,65.44,785.28,Fiber optic,,No,Yes,Yes,Yes,Yes,220.8,3,0,Yes,Monthly,West,0
C006,Male,0,Yes,No,23,One year,Credit card,71.84,1652.32,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,144.13,0,1,Yes,Monthly,North,0
C001,Female,0,Yes,No,12,Month-to-month,Electronic check,71.29,855.48,Fiber optic,No,No,Yes,Yes,Yes,No,136.29,2,2,No,Monthly,South,1
C003,Female,0,Yes,Yes,49,One year,Credit card,55.64,2726.36,DSL,Yes,Yes,No,Yes,No,Yes,165.17,2,0,Yes,Quarterly,East,0
C006,Male,0,Yes,No,25,One year,Credit card,45.38,1134.5,Fiber optic,Yes,,Yes,Yes,Yes,Yes,201.24,2,1,Yes,Monthly,North,0
C006,Male,0,Yes,No,22,One year,Credit card,61.83,1360.26,Fiber optic,Yes,,Yes,Yes,Yes,Yes,186.52,1,0,Yes,Monthly,North,0
